Error processing code 002008: HTTPSConnectionPool(host='s.askci.com', port=443): Max retries exceeded with url: /stock/summary/002008/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))
Error processing code 002047: HTTPSConnectionPool(host='s.askci.com', port=443): Max retries exceeded with url: /stock/summary/002047/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))
Error processing code 002067: HTTPSConnectionPool(host='s.askci.com', port=443): Max retries exceeded with url: /stock/summary/002067/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))
Error processing code 002085: HTTPSConnectionPool(host='s.askci.com', port=443): Max retries exceeded with url: /stock/summary/002085/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))
Error processing code 002101: HTTPSConnectionPool(host='s.askci.com', port=443): Max retries exceeded with url: /stock/summary/002101/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))
Error processing code 002121: HTTPSConnectionPool(host='s.askci.com', port=443): Max retries exceeded with url: /stock/summary/002121/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))
Error processing code 002147: HTTPSConnectionPool(host='s.askci.com', port=443): Max retries exceeded with url: /stock/summary/002147/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))
Error processing code 002200: HTTPSConnectionPool(host='s.askci.com', port=443): Max retries exceeded with url: /stock/summary/002200/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))
Error processing code 002201: HTTPSConnectionPool(host='s.askci.com', port=443): Max retries exceeded with url: /stock/summary/002201/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))
Error processing code 002202: HTTPSConnectionPool(host='s.askci.com', port=443): Max retries exceeded with url: /stock/summary/002202/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))
Error processing code 002301: HTTPSConnectionPool(host='s.askci.com', port=443): Max retries exceeded with url: /stock/summary/002301/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))
Error processing code 002353: HTTPSConnectionPool(host='s.askci.com', port=443): Max retries exceeded with url: /stock/summary/002353/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))
Error processing code 002363: HTTPSConnectionPool(host='s.askci.com', port=443): Max retries exceeded with url: /stock/summary/002363/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))
Error processing code 002475: HTTPSConnectionPool(host='s.askci.com', port=443): Max retries exceeded with url: /stock/summary/002475/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))
Error processing code 002500: HTTPSConnectionPool(host='s.askci.com', port=443): Max retries exceeded with url: /stock/summary/002500/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))
Data extraction and saving to ./data/business_description.csv.
