序号,股票代码,股票名称,公司全称,上市日期,招股书,公司财报,行业分类,主营业务
151,000565,渝三峡A,重庆三峡油漆股份有限公司,1994-04-08,--,,涂料涂漆,油漆涂料的生产销售。
152,000566,海南海药,海南海药股份有限公司,1994-05-25,--,,化学制剂,药品及医疗器械研发、生产和销售。
153,000567,海德股份,海南海德资本管理股份有限公司,1994-05-25,--,,其他非银行金融,科技清收个贷不良服务业务、机构困境资管业务、优质资产管理业务。
154,000568,泸州老窖,泸州老窖股份有限公司,1994-05-09,--,,白酒,“国窖1573”、“泸州老窖”等系列白酒的研发、生产和销售。
155,000570,苏常柴A,常柴股份有限公司,1994-07-01,--,,内燃机,“常柴”牌柴油机及“常柴罗宾”牌汽油机的研发、生产及销售。
156,000571,新大洲A,新大洲控股股份有限公司,1994-05-25,--,,煤炭开采洗选,煤炭采掘业务。
157,000572,海马汽车,海马汽车股份有限公司,1994-08-08,--,,乘用车,汽车及汽车动力总成的研发、制造、销售及金融服务。
158,000573,粤宏远A,东莞宏远工业区股份有限公司,1994-08-15,--,,房地产开发,房地产开发。
159,000576,甘化科工,广东甘化科工股份有限公司,1994-09-07,--,,造纸,电源及相关产品、高性能特种合金材料制品等军工产品的研发、生产、销售。
160,000581,威孚高科,无锡威孚高科技集团股份有限公司,1998-09-24,--,,汽车零部件,汽车核心零部件产品的研发、生产和销售。
161,000582,北部湾港,北部湾港股份有限公司,1995-11-02,--,,港口,集装箱和散杂货的港口装卸、堆存及船舶港口服务。
162,000584,*ST工智,江苏哈工智能机器人股份有限公司,1995-11-28,--,,氨纶,智能制造。
163,000585,东电退,东北电气发展股份有限公司,1995-12-13,--,,其他输变电设备,输变电设备相关产品的研发、设计、生产和销售及酒店餐饮和住宿业务。
164,000586,汇源通信,四川汇源光通信股份有限公司,1995-12-20,--,,通信传输设备,光纤光缆及相关产品业务、在线监测相关产品业务和通信工程及系统集成业务。
165,000587,*ST金洲,金洲慈航集团股份有限公司,1996-04-25,--,,珠宝首饰,销售黄金珠宝饰品。
166,000589,贵州轮胎,贵州轮胎股份有限公司,1996-03-08,--,,轮胎,商用轮胎研发、生产及销售。
167,000590,启迪药业,启迪药业集团股份公司,1996-01-19,--,,中药生产,研究、开发中国中药传统秘方、验方和西药制剂。
168,000591,太阳能,中节能太阳能股份有限公司,1996-02-08,--,,新能源发电,"太阳能光伏电站的投资运营,太阳能光伏电池组件的生产销售。"
169,000592,平潭发展,中福海峡(平潭)发展股份有限公司,1996-03-27,--,,木材加工,造林营林、林木产品加工与销售、以烟草化肥销售为主的农资贸易业务和与平潭综合实验区开发项目的有关业务。
170,000593,德龙汇能,德龙汇能集团股份有限公司,1996-03-12,--,,燃气,从事以天然气能源为主的清洁能源生产、供应业务以及以氢能、光伏产业为主的新能源业务。
171,000595,宝塔实业,宝塔实业股份有限公司,1996-04-19,--,,基础件,轴承、船舶电器的生产与销售。
172,000596,古井贡酒,安徽古井贡酒股份有限公司,1996-09-27,--,,白酒,白酒的生产和销售。
173,000597,东北制药,东北制药集团股份有限公司,1996-05-23,--,,化学原料药,化学制药、医药商业、医药工程、生物医药等板块。
174,000598,兴蓉环境,成都市兴蓉环境股份有限公司,1996-05-29,--,,污水处理,自来水业务、污水处理及中水利用业务、环保业务和工程业务。
175,000599,青岛双星,青岛双星股份有限公司,1996-04-30,--,,轮胎,轮胎产品的生产、制造、研发及销售。
176,000600,建投能源,河北建投能源投资股份有限公司,1996-06-06,--,,火电,投资、建设、经营管理以电力生产为主的能源项目。
177,000601,韶能股份,广东韶能集团股份有限公司,1996-08-30,--,,火电,能源（电力、供热、供汽）、生态植物纤维制品、精密（智能）制造。
178,000603,盛达资源,盛达金属资源股份有限公司,1996-08-23,--,,铅锌,有色金属矿的采选和销售。
179,000605,渤海股份,渤海水业股份有限公司,1996-09-13,--,,水务,原水开发供应，区域间调水，粗质水，自来水生产及输送，优质地下水高附加值经营，直饮水，城镇集中式供水，水务新技术研发应用，水环境治理的基础设施的投资建设及运营管理，市政及园区污水处理工程的投资及总承包，固废危废处置及资源再利用，清洁能源供暖业务。
180,000606,顺利退,顺利办信息服务股份有限公司,1996-10-04,--,,其他互联网服务,互联网服务业务。
