序号,股票代码,股票名称,公司全称,上市日期,招股书,公司财报,行业分类,主营业务
91,000425,徐工机械,徐工集团工程机械股份有限公司,1996-08-28,--,,工程机械,土方机械、起重机械、桩工机械、混凝土机械、路面机械、高空作业机械、矿业机械、环卫机械、农业机械、应急救援装备和其他工程机械及备件的研发、制造、销售和服务工作。
92,000426,兴业银锡,内蒙古兴业银锡矿业股份有限公司,1996-08-28,--,,铅锌,有色金属及贵金属采选与冶炼。
93,000428,华天酒店,华天酒店集团股份有限公司,1996-08-08,--,,酒店,酒店服务业。
94,000429,粤高速A,广东省高速公路发展股份有限公司,1998-02-20,--,,高速公路,收费高速公路、桥梁的投资、建设、收费和养护管理。
95,000430,张家界,张家界旅游集团股份有限公司,1996-08-29,--,,景区,旅游景区经营、旅游客运、旅行社经营、旅游客运索道经营、酒店经营及房屋租赁业务。
96,000488,晨鸣纸业,山东晨鸣纸业集团股份有限公司,2000-11-20,--,,造纸,机制纸及板纸和造纸原料、造纸机械、电力、热力的生产与销售。
97,000498,山东路桥,山东高速路桥集团股份有限公司,1997-06-09,--,,路桥建设,路桥工程施工与公路养护工程施工。
98,000501,武商集团,武商集团股份有限公司,1992-11-20,--,,百货,购物中心及超市业态的商品销售。
99,000502,绿景退,绿景控股股份有限公司,1992-11-23,--,,房地产开发,互联网数据中心服务业务。
100,000503,国新健康,国新健康保障服务集团股份有限公司,1992-11-30,--,,电子商务B2B,数字医保、数字医疗、数字医药和健康服务四大板块。
101,000504,南华生物,南华生物医药股份有限公司,1992-12-08,--,,节能环保,生物医药、节能环保。
102,000505,京粮控股,海南京粮控股股份有限公司,1992-12-21,--,,房地产开发,油脂油料加工销售及贸易和食品制造。
103,000506,*ST中润,中润资源投资股份有限公司,1993-03-12,--,,黄金,以黄金为主要品种的矿业开采。
104,000507,珠海港,珠海港股份有限公司,1993-03-26,--,,港口,港口的投资、运营以及船舶运输等业务;电力能源、新能源产业以及管道燃气;港城建设、物业管理及生产制造。
105,000509,华塑控股,华塑控股股份有限公司,1993-05-07,--,,其他建材,电子信息显示终端的研发、设计、生产和销售服务，租赁、舞台灯光设计。
106,000510,新金路,四川新金路集团股份有限公司,1993-05-07,--,,氯碱,从事PVC树脂和烧碱的生产与销售。
107,000513,丽珠集团,丽珠医药集团股份有限公司,1993-10-28,--,,化学制剂,医药产品的研发、生产及销售。
108,000514,渝开发,重庆渝开发股份有限公司,1993-07-12,--,,房地产开发,房地产开发与销售业务。
109,000516,国际医学,西安国际医学投资股份有限公司,1993-08-09,--,,百货,大健康医疗服务和现代医学技术转化应用。
110,000517,荣安地产,荣安地产股份有限公司,1993-08-06,--,,房地产开发,房地产开发与销售。
111,000518,四环生物,江苏四环生物股份有限公司,1993-09-08,--,,生物医药,生物医药制品、生产和销售以及绿化园林工程业务。
112,000519,中兵红箭,中兵红箭股份有限公司,1993-10-08,--,,超硬材料,特种装备、超硬材料、专用车及汽车零部件三大业务板块。
113,000520,凤凰航运,凤凰航运(武汉)股份有限公司,1993-10-25,--,,航运,干散货航运及港航物流服务业。
114,000521,长虹美菱,长虹美菱股份有限公司,1993-10-18,--,,冰箱、空调,冰箱、冰柜、空调、洗衣机白色家电产品研发、生产与销售及生物医疗。
115,000523,红棉股份,广州市红棉智汇科创股份有限公司,1993-11-08,--,,洗涤产品,食品饮料及文化创意产业园区开发和运营业务。
116,000524,岭南控股,广州岭南集团控股股份有限公司,1993-11-18,--,,餐饮,为集商旅出行、住宿、会展、景区、汽车服务等业务为一体。
117,000525,*ST红阳,南京红太阳股份有限公司,1993-10-28,--,,农药,原药和制剂产品的生产销售、化肥生态肥的销售。
118,000526,学大教育,学大(厦门)教育科技集团股份有限公司,1993-11-01,--,,教育培训,教育培训服务。
119,000528,柳工,广西柳工机械股份有限公司,1993-11-18,--,,工程机械,工程机械及关键零部件的研发、生产、销售和服务。
120,000529,广弘控股,广东广弘控股股份有限公司,1993-11-18,--,,肉制品,食品板块冷冻食品储藏供应业务和农牧板块畜禽养殖业务。
