序号,股票代码,股票名称,公司全称,上市日期,招股书,公司财报,行业分类,主营业务
241,000691,亚太实业,甘肃亚太实业发展股份有限公司,1997-02-28,--,,房地产开发,精细化工产品中的医药中间体、农药中间体的研发、生产和销售业务。
242,000692,惠天热电,沈阳惠天热电股份有限公司,1997-02-27,--,,其他发电,为城市居民及非居民用户提供供热及工程服务。
243,000695,滨海能源,天津滨海能源发展股份有限公司,1997-02-18,--,,其他发电,锂电池负极材料的研发、生产及销售和各类书刊出版物、印刷品的生产。
244,000697,炼石航空,炼石航空科技股份有限公司,1997-03-25,--,,稀有金属,航空精密零部件、结构件的生产和销售。
245,000698,沈阳化工,沈阳化工股份有限公司,1997-02-20,--,,石油加工,从事氯碱、石油、聚醚多元醇等化工产品的生产和销售。
246,000700,模塑科技,江南模塑科技股份有限公司,1997-02-28,--,,汽车零部件,汽车保险杠等零部件、塑料制品、模具、模塑高科技产品的开发、生产和销售。
247,000701,厦门信达,厦门信达股份有限公司,1997-02-26,--,,贸易,汽车经销业务、供应链业务、物联网业务及光电业务。
248,000702,正虹科技,湖南正虹科技发展股份有限公司,1997-03-18,--,,饲料,研发生产销售饲料产品、生猪养殖、饲料原料销售。
249,000703,恒逸石化,恒逸石化股份有限公司,1997-03-28,--,,涤纶,石化化纤业务、“石化+”业务。
250,000705,浙江震元,浙江震元股份有限公司,1997-04-10,--,,医药商业,经营业态涵盖医药流通、医药工业、中药饮片和健康产品及服务等。
251,000707,双环科技,湖北双环科技股份有限公司,1997-04-15,--,,纯碱,联碱产品的生产与销售。
252,000708,中信特钢,中信泰富特钢集团股份有限公司,1997-03-26,--,,特钢,专业化特殊钢材料制造。
253,000709,河钢股份,河钢股份有限公司,1997-04-16,--,,普钢,黑色金属的冶炼和加工。
254,000710,贝瑞基因,成都市贝瑞和康基因技术股份有限公司,1997-04-22,--,,汽车零部件,以高通量测序技术为基础的基因检测服务和基因检测相关的设备、试剂销售。
255,000711,*ST京蓝,京蓝科技股份有限公司,1997-04-11,--,,节水灌溉,土壤修复、耕地土壤环境综合治理保护、高标准农田建设等业务。
256,000712,锦龙股份,广东锦龙发展股份有限公司,1997-04-15,--,,证券,证券公司业务。
257,000713,丰乐种业,合肥丰乐种业股份有限公司,1997-04-22,--,,种子,种子和农化、香料产业。
258,000715,中兴商业,中兴-沈阳商业大厦(集团)股份有限公司,1997-05-08,--,,百货,商业零售为主要业务，经营业态包括百货、超市、网络购物平台等。
259,000716,黑芝麻,南方黑芝麻集团股份有限公司,1997-04-18,--,,植物蛋白饮料,食品研发、生产和销售以及一站式电子商务解决方案服务。
260,000717,中南股份,广东中南钢铁股份有限公司,1997-05-08,--,,普钢,从事钢铁冶金产品的生产与销售。
261,000718,苏宁环球,苏宁环球股份有限公司,1997-04-08,--,,房地产开发,房地产开发与销售。
262,000719,中原传媒,中原大地传媒股份有限公司,1997-03-31,--,,平面媒体,出版物的编辑、生产和市场推广，通过形式多样、门类齐全的出版产品，为广大消费者提供知识、信息和精神文化需求服务。
263,000720,新能泰山,山东新能泰山发电股份有限公司,1997-05-09,--,,火电,产业园开发、综合资产运营及供应链。
264,000721,西安饮食,西安饮食股份有限公司,1997-04-30,--,,餐饮,餐饮服务及工业化食品加工及销售。
265,000722,湖南发展,湖南发展集团股份有限公司,1997-05-22,--,,水电,清洁能源、医养健康、自然资源开发。
266,000723,美锦能源,山西美锦能源股份有限公司,1997-05-15,--,,焦炭,煤炭、焦化、天然气、氢燃料电池汽车为主的新能源汽车等商品的生产销售。
267,000725,京东方A,京东方科技集团股份有限公司,2001-01-12,--,,显示器件,显示器件业务、智慧系统产品业务、智慧健康服务业务。
268,000726,鲁泰A,鲁泰纺织股份有限公司,2000-12-25,--,,棉纺,生产销售中、高档衬衫用色织布面料、印染面料、成衣等产品。
269,000727,冠捷科技,冠捷电子科技股份有限公司,1997-05-20,--,,显示器件,智能显示终端产品的研发、制造、销售与服务。
270,000728,国元证券,国元证券股份有限公司,1997-06-16,--,,证券,财富信用业务、自营业务、投资银行业务、资产管理业务、机构业务、国际业务。
