序号,股票代码,股票名称,公司全称,上市日期,招股书,公司财报,行业分类,主营业务
31,000038,大通退,深圳大通实业股份有限公司,1994-08-08,--,,网络媒体,生物科技板块、大健康板块、供应链服务及民间资本管理业务
32,000039,中集集团,中国国际海运集装箱(集团)股份有限公司,1994-04-08,--,,金属制品,主要从事集装箱、道路运输车辆、能源/化工/液态食品装备、海洋工程装备、空港装备的制造及服务业务。
33,000040,ST旭蓝,东旭蓝天新能源股份有限公司,1994-08-08,--,,太阳能,新能源业务和生态环保业务。
34,000042,中洲控股,深圳市中洲投资控股股份有限公司,1994-09-21,--,,房地产开发,地产开发、酒店经营、物业服务、商业管理等领域。
35,000045,深纺织A,深圳市纺织(集团)股份有限公司,1994-08-15,--,,显示器件,以液晶显示用偏光片为代表的高新技术产业，自有物业的经营管理业务及高档纺织服装业务。
36,000046,*ST泛海,泛海控股股份有限公司,1994-09-12,--,,房地产开发,金融业务和房地产业务。
37,000048,京基智农,深圳市京基智农时代股份有限公司,1994-11-01,--,,饲料,生猪养殖与销售；饲料生产与销售；种鸡、肉鸡养殖与销售；房地产开发。
38,000049,德赛电池,深圳市德赛电池科技股份有限公司,1995-03-20,--,,电池,从事锂电池电源管理系统、储能电芯及相关封装集成产品的研发、设计、生产及销售业务。
39,000050,深天马A,天马微电子股份有限公司,1995-03-15,--,,显示器件,显示器件及相关的材料、设备、产品的设计、制造、销售。
40,000055,方大集团,方大集团股份有限公司,1996-04-15,--,,其他建材,高端智慧幕墙系统及新材料、轨道交通屏蔽门设备、新能源、商业地产等业务。
41,000056,皇庭国际,深圳市皇庭国际企业股份有限公司,1996-07-08,--,,物业租赁、物业管理,商业不动产运营管理业务、资产管理业务以及各配套服务业务。
42,000058,深赛格,深圳赛格股份有限公司,1996-12-26,--,,专业市场,以电子专业市场、通信市场为核心的电子市场流通业务，以物业经营管理为核心的城市服务业务，以新能源和检验检测认证为代表的战略性新兴业务。
43,000059,华锦股份,北方华锦化学工业股份有限公司,1997-01-30,--,,石油加工,石油化工及化学肥料生产与销售。
44,000060,中金岭南,深圳市中金岭南有色金属股份有限公司,1997-01-23,--,,铅锌,铅锌铜等有色金属的采矿、选矿、冶炼和深加工。
45,000061,农产品,深圳市农产品集团股份有限公司,1997-01-10,--,,专业市场,农产品批发市场的开发、建设、经营和管理。
46,000062,深圳华强,深圳华强实业股份有限公司,1997-01-30,--,,专业市场,面向电子信息产业链的现代高端服务业，为产业链上的各环节提供线上线下交易服务、产品服务、技术服务、信息服务、数据服务和创新创业配套等服务，打造面向电子信息产业的国内一流线下、线上交易服务平台。
47,000063,中兴通讯,中兴通讯股份有限公司,1997-11-18,--,,通信传输设备,为客户提供满意的ICT产品及解决方案，集“设计、开发、生产、销售、服务”等一体，聚焦于“运营商网络、政企业务、消费者业务”。
48,000065,北方国际,北方国际合作股份有限公司,1998-06-05,--,,专业工程,国际工程承包、国内建筑工程、重型装备出口贸易、物流服务、物流自动化设备系统集成服务、太阳能产品贸易及新能源项目开发、大宗商品贸易和金属包装容器的生产和销售。
49,000066,中国长城,中国长城科技集团股份有限公司,1997-06-26,--,,PC、服务器及硬件,计算产业、系统装备及其他业务。
50,000068,华控赛格,深圳华控赛格股份有限公司,1997-06-11,--,,环保材料,海绵城市建设、水务工程、智慧水务建设运营、EPC总承包和工程咨询设计及新开展的设备和大宗商品贸易等相关业务。
51,000069,华侨城A,深圳华侨城股份有限公司,1997-09-10,--,,景区,旅游业务、房地产业务。
52,000070,ST特信,深圳市特发信息股份有限公司,2000-05-11,--,,通信传输设备,线缆制造、光电制造、科技融合、智能服务四大产业的研发、生产和销售。
53,000078,海王生物,深圳市海王生物工程股份有限公司,1998-12-18,--,,医药商业,生物制品、生化制品、海洋药物、海洋生物制品、中成药的生产销售。
54,000088,盐田港,深圳市盐田港股份有限公司,1997-07-28,--,,港口,码头的开发与经营；货物装卸与运输；港口配套交通设施建设与经营；港口配套仓储及工业设施建设与经营等。
55,000089,深圳机场,深圳市机场股份有限公司,1998-04-20,--,,机场,航空主业以及航空主业延伸出的非航空业务。
56,000090,天健集团,深圳市天健(集团)股份有限公司,1999-07-21,--,,专业工程,城市建设、综合开发和城市服务。
57,000096,广聚能源,深圳市广聚能源股份有限公司,2000-07-24,--,,石油天然气贸易,成品油批发零售及仓储、土地及物业租赁、化工贸易，以及证券投资、电力企业等股权投资。
58,000099,中信海直,中信海洋直升机股份有限公司,2000-07-31,--,,航空,海上石油、应急救援、陆上通航、引航风电、通航维修。
59,000100,TCL科技,TCL科技集团股份有限公司,2004-01-30,--,,电视机,半导体显示业务、新能源光伏及其他硅材料业务。
60,000150,*ST宜康,宜华健康医疗股份有限公司,2000-08-07,--,,医疗服务,医疗机构运营及服务和养老社区运营及服务。
