序号,股票代码,股票名称,公司全称,上市日期,招股书,公司财报,行业分类,主营业务
271,000729,燕京啤酒,北京燕京啤酒股份有限公司,1997-07-16,--,,啤酒,啤酒、水、饮料等制造和销售。
272,000731,四川美丰,四川美丰化工股份有限公司,1997-06-17,--,,氮肥,尿素、复合肥、车用尿素、三聚氰胺、硝酸铵、包装塑料制品及LNG（液化天然气）等产品的制造与销售。
273,000732,ST泰禾,泰禾集团股份有限公司,1997-07-04,--,,房地产开发,住宅地产和商业地产的开发及运营。
274,000733,振华科技,中国振华(集团)科技股份有限公司,1997-07-03,--,,电子元件,新型电子元器件和现代服务业。
275,000735,罗牛山,罗牛山股份有限公司,1997-06-11,--,,畜牧养殖,生猪养殖和屠宰加工业务、冷链业务、房地产业务、教育服务业务。
276,000736,中交地产,中交地产股份有限公司,1997-04-25,--,,房地产开发,房地产开发经营与销售业务。
277,000737,北方铜业,北方铜业股份有限公司,1997-04-28,--,,日用化学品,铜金属的开采、选矿、冶炼及销售等。
278,000738,航发控制,中国航发动力控制股份有限公司,1997-06-26,--,,航空装备,航空发动机及燃气轮机控制系统、国际合作业务、控制系统技术衍生产品三大业务。
279,000739,普洛药业,普洛药业股份有限公司,1997-05-09,--,,化学原料药,原料药中间体、创新药研发生产服务（CDMO）、制剂等研发、生产和销售以及进出口贸易业务。
280,000750,国海证券,国海证券股份有限公司,1997-07-09,--,,证券,财富管理业务、企业金融服务业务、销售交易与投资业务、投资管理业务、研究业务。
281,000751,锌业股份,葫芦岛锌业股份有限公司,1997-06-26,--,,铅锌,有色金属锌、铜冶炼及深加工产品，同时综合回收有价金属镉、铟、金、银、铋等，并副产铅、硫酸、硫酸锌等。
282,000752,ST西发,西藏发展股份有限公司,1997-06-25,--,,啤酒,生产、销售啤酒、饮料。
283,000753,漳州发展,福建漳州发展股份有限公司,1997-06-26,--,,汽车销售,新能源、生态环保、绿色建造、智慧水务、低碳出行业务。
284,000755,山西高速,山西高速集团股份有限公司,1997-06-27,--,,其他化学原料,高速公路管理与运营。
285,000756,新华制药,山东新华制药股份有限公司,1997-08-06,--,,化学原料药,开发、制造和销售化学原料药、制剂、医药中间体及其他产品。
286,000757,浩物股份,四川浩物机电股份有限公司,1997-06-27,--,,汽车零部件,乘用车经销及汽车后市场服务业务和内燃机发动机曲轴业务。
287,000758,中色股份,中国有色金属建设股份有限公司,1997-04-16,--,,铅锌,有色金属采选与冶炼、国际工程承包。
288,000759,中百集团,中百控股集团股份有限公司,1997-05-19,--,,超市,商业零售。
289,000760,斯太退,斯太尔动力股份有限公司,1997-06-27,--,,汽车零部件,汽车零部件制造与销售
290,000761,本钢板材,本钢板材股份有限公司,1998-01-15,--,,普钢,钢铁冶炼、压延加工、发电、煤化工、特钢棒材、铁路、进出口贸易、科研、产品销售等。
291,000762,西藏矿业,西藏矿业发展股份有限公司,1997-07-08,--,,其他稀有小金属,铬铁矿、锂矿的开采、加工及销售和贸易业务。
292,000766,通化金马,通化金马药业集团股份有限公司,1997-04-30,--,,中药生产,医药产品的研发、生产与销售。
293,000767,晋控电力,晋能控股山西电力股份有限公司,1997-06-09,--,,火电,电力产品和热力产品的生产销售及服务。
294,000768,中航西飞,中航西安飞机工业集团股份有限公司,1997-06-26,--,,航空装备,军用大中型飞机整机、军民用航空零部件产品的研发、制造、销售、维修与服务。
295,000776,广发证券,广发证券股份有限公司,1997-06-11,--,,证券,投资银行业务、财富管理业务、交易及机构业务和投资管理业务。
296,000777,中核科技,中核苏阀科技实业股份有限公司,1997-07-10,--,,基础件,工业用阀门的研发、生产、销售及服务。
297,000778,新兴铸管,新兴铸管股份有限公司,1997-06-06,--,,普钢,加工、生产和销售离心球墨铸铁管及管件、钢铁冶炼及压延产品、铸造制品、钢塑复合管、钢格板、特种钢管等。
298,000779,甘咨询,甘肃工程咨询集团股份有限公司,1997-05-28,--,,毛纺,工程咨询技术业务
299,000782,恒申新材,广东恒申美达新材料股份公司,1997-06-19,--,,锦纶,锦纶6切片和纺丝的生产、销售。
300,000783,长江证券,长江证券股份有限公司,1997-07-31,--,,证券,提供经纪及证券金融、投资银行、资产管理、投资、海外业务等全方位综合金融服务。
