序号,股票代码,股票名称,公司全称,上市日期,招股书,公司财报,行业分类,主营业务
121,000530,冰山冷热,冰山冷热科技股份有限公司,1993-12-08,--,,制冷空调设备,工业制冷、食品冷冻冷藏、中央及商用空调以及制冷部件等制冷设备的生产和安装业务。
122,000531,穗恒运A,广州恒运企业集团股份有限公司,1994-01-06,--,,火电,电力、热力生产和供应业务。
123,000532,华金资本,珠海华金资本股份有限公司,1994-01-03,--,,电子零部件,投资与管理、电子器件制造、污水处理、科技园区。
124,000533,顺钠股份,广东顺钠电气股份有限公司,1994-01-03,--,,厨卫电器,输配电设备业务、大宗商品贸易及供应链管理业务。
125,000534,万泽股份,万泽实业股份有限公司,1994-01-10,--,,房地产开发,微生态活菌产品、高温合金及其制品的研发、生产及销售。
126,000536,华映科技,华映科技(集团)股份有限公司,1993-11-26,--,,显示器件,显示面板、显示模组的研发、生产及销售。
127,000537,中绿电,天津中绿电投资股份有限公司,1993-12-10,--,,房地产开发,"风能和太阳能投资,开发,运营。"
128,000538,云南白药,云南白药集团股份有限公司,1993-12-15,--,,中药生产,自制工业品的研发、生产和销售，以及药品批发零售业务。
129,000539,粤电力A,广东电力发展股份有限公司,1993-11-26,--,,火电,电力项目的投资、建设和经营管理，电力的生产和销售业务。
130,000540,*ST中天,中天金融集团股份有限公司,1994-02-02,--,,房地产开发,房地产、证券、保险等业务。
131,000541,佛山照明,佛山电器照明股份有限公司,1993-11-23,--,,照明设备,通用照明、电工产品、汽车照明、LED封装产品等的研发、生产和销售。
132,000543,皖能电力,安徽省皖能股份有限公司,1993-12-20,--,,火电,电力、节能及相关项目投资、经营。
133,000544,中原环保,中原环保股份有限公司,1993-12-08,--,,污水处理,供水、城镇污水处理、农村污水治理、污泥处置、中水利用、集中供热、建筑垃圾资源化处置利用、环保设备制造、光伏发电、市政建设、园林绿化、水环境综合治理及技术研发等。
134,000545,金浦钛业,金浦钛业股份有限公司,1993-12-15,--,,其他化学原料,钛白粉生产及销售。
135,000546,金圆股份,金圆环保股份有限公司,1993-12-15,--,,水泥,工业固危废资源化处置、稀贵金属综合回收循环利用与锂资源开发提取。
136,000547,航天发展,航天工业发展股份有限公司,1993-11-30,--,,通信传输设备,以电子信息科技为主业，致力于军用、民用产业领域。
137,000548,湖南投资,湖南投资集团股份有限公司,1993-12-20,--,,高速公路,高速公路建设运营、资产管理和物业服务、酒店投资经营、城市综合体投资开发。
138,000550,江铃汽车,江铃汽车股份有限公司,1993-12-01,--,,商用车,生产和销售商用车、SUV以及相关的零部件。
139,000551,创元科技,创元科技股份有限公司,1994-01-06,--,,综合,洁净环保工程及设备、输变电高压瓷绝缘子、滚针轴承、各类光机电算一体化测绘仪器、各类磨料磨具等产品的生产经营。
140,000552,甘肃能化,甘肃能化股份有限公司,1994-01-06,--,,煤炭开采洗选,煤炭开采和销售。
141,000553,安道麦A,安道麦股份有限公司,1993-12-03,--,,农药,非专利作物保护产品的开发、生产及销售
142,000554,泰山石油,中国石化山东泰山石油股份有限公司,1993-12-15,--,,石油天然气贸易,主要从事成品油批发零售业务以及非油品业务。
143,000555,神州信息,神州数码信息服务集团股份有限公司,1994-04-08,--,,其他软件服务,金融业务驱动的金融科技产品与解决方案、金融行业信息技术应用创新、金融数据开发与服务以及基于数据的场景业务。
144,000557,西部创业,宁夏西部创业实业股份有限公司,1994-06-17,--,,铁路运输,铁路运输和供应链贸易服务业务。
145,000558,莱茵体育,莱茵达体育发展股份有限公司,1994-05-09,--,,体育运营,文旅业务、体育业务、房地产业务。
146,000559,万向钱潮,万向钱潮股份公司,1994-01-10,--,,汽车零部件,汽车零部件的研发及制造，并为汽车零部件模块化提供系统化、协同化解决方案。
147,000560,我爱我家,我爱我家控股集团股份有限公司,1994-02-02,--,,百货,二手住宅经纪、新房销售、房屋资产管理。
148,000561,烽火电子,陕西烽火电子股份有限公司,1994-05-09,--,,通信终端设备,通信装备及电声器材的科研、生产、销售。
149,000563,陕国投A,陕西省国际信托股份有限公司,1994-01-10,--,,信托,信托业务、固有业务和投资顾问等中介业务。
150,000564,供销大集,供销大集集团股份有限公司,1994-01-10,--,,百货,商业运营业务、商贸物流业务、商品贸易业务。
