序号,股票代码,股票名称,公司全称,上市日期,招股书,公司财报,行业分类,主营业务
181,000607,华媒控股,浙江华媒控股股份有限公司,1996-08-30,--,,营销服务,广告策划发布、报刊发行与印刷、教育等。
182,000608,阳光股份,阳光新业地产股份有限公司,1996-09-19,--,,房地产开发,商业运营管理业务、物业租赁业务、住宅商住尾盘销售业务。
183,000609,*ST中迪,北京中迪投资股份有限公司,1996-10-10,--,,综合,房地产开发和股权投资。
184,000610,西安旅游,西安旅游股份有限公司,1996-09-26,--,,景区,畅游旅行板块、品质酒店板块和西旅生态板块。
185,000611,天首退,内蒙古天首科技发展股份有限公司,1996-10-08,--,,纺织,键合材料的生产和销售。
186,000612,焦作万方,焦作万方铝业股份有限公司,1996-09-26,--,,铝,铝冶炼及压延加工，配套火力发电。
187,000613,东海A退,海南大东海旅游中心股份有限公司,1997-01-28,--,,酒店,酒店住宿和餐饮服务。
188,000615,ST美谷,奥园美谷科技股份有限公司,1996-10-16,--,,房地产开发,生物基纤维业务和医疗美容服务业务。
189,000616,*ST海投,海航投资集团股份有限公司,1996-11-08,--,,房地产开发,商品住宅及商铺的开发和销售、基金管理以及养老服务
190,000617,中油资本,中国石油集团资本股份有限公司,1996-10-22,--,,其他非银行金融,银行业务、财务公司业务、金融租赁业务、信托业务、保险业务、保险经纪业务、证券业务、信用增进业务、股权投资业务与智能化数字化业务。
191,000619,海螺新材,海螺(安徽)节能环保新材料股份有限公司,1996-10-23,--,,其他建材,从事塑料型材、铝型材、门窗、SCR脱硝催化剂等产品的研发、生产和销售。
192,000620,新华联,新华联文化旅游发展股份有限公司,1996-10-29,--,,房地产开发,文旅景区开发与运营、房地产项目开发建设、施工总承包、商业管理、酒店管理、物业服务、旅游服务。
193,000622,*ST恒立,恒立实业发展集团股份有限公司,1996-11-07,--,,汽车零部件,汽车空调及零部件业务和贸易。
194,000623,吉林敖东,吉林敖东药业集团股份有限公司,1996-10-28,--,,中药生产,中药、化学药品研发、制造和销售
195,000625,长安汽车,重庆长安汽车股份有限公司,1997-06-10,--,,乘用车,整车的研发、制造和销售以及发动机的研发、生产。
196,000626,远大控股,远大产业控股股份有限公司,1996-11-28,--,,贸易,贸易、油脂、生态农业。
197,000627,天茂集团,天茂实业集团股份有限公司,1996-11-12,--,,保险,人寿保险、健康保险、意外伤害保险等各类人身保险业务和保险销售、基金销售业务。
198,000628,高新发展,成都高新发展股份有限公司,1996-11-18,--,,专业工程,建筑业和功率半导体业务。
199,000629,钒钛股份,攀钢集团钒钛资源股份有限公司,1996-11-15,--,,普钢,钒产品、钛渣、钛白粉的生产、销售、技术研发和应用开发。
200,000630,铜陵有色,铜陵有色金属集团股份有限公司,1996-11-20,--,,铜,铜、铁、硫金矿采选，铜、金、银、稀有贵金属冶炼及压延加工，硫酸、电子产品生产、铜加工产品等。
201,000631,顺发恒业,顺发恒能股份公司,1996-11-22,--,,房地产开发,清洁能源发电业务、综合智慧能源服务、房地产业和物业服务。
202,000632,三木集团,福建三木集团股份有限公司,1996-11-21,--,,综合,进出口贸易、房地产开发、经营性物业运营管理和创业投资等。
203,000633,合金投资,新疆合金投资股份有限公司,1996-11-12,--,,其他金属新材料,镍基合金材料的生产与销售业务。
204,000635,英力特,宁夏英力特化工股份有限公司,1996-11-20,--,,氯碱,电石及其系列延伸产品的生产和销售；聚氯乙烯、烧碱及其系列延伸产品的生产和销售；特种树脂生产及销售；电力、热力的生产及销售。
205,000636,风华高科,广东风华高新科技股份有限公司,1996-11-29,--,,电子元件,研制、生产、销售电子元器件、电子材料等。
206,000637,茂化实华,茂名石化实华股份有限公司,1996-11-14,--,,石油加工,石油化工产品的生产及销售经营。
207,000638,万方发展,万方城镇投资发展股份有限公司,1996-11-26,--,,贸易,军工业务、农业业务以及生物健康等业务。
208,000639,西王食品,西王食品股份有限公司,1996-11-26,--,,植物油,食用植物油、运动营养品及体重管理相关的营养补给品的研发、生产和销售。
209,000650,仁和药业,仁和药业股份有限公司,1996-12-10,--,,中药生产,生产、销售中西药、原料药及健康相关产品。
210,000651,格力电器,珠海格力电器股份有限公司,1996-11-18,--,,空调,生产销售空调器、自营空调器出口业务及其相关零配件的进出口业务。
