股票代码,描述
000828,"东莞发展控股股份有限公司从事交通基础设施产业、投资管理业务。在交通基础设施产业板块，公司以高速公路运营管理为基石，介入城市轨道交通业务领域，并积极布局新能源汽车充电业务；在金融投资管理业务板块，公司深耕融资租赁、商业保理业务，并支持东莞证券、东莞信托业务的开展。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000829,"天音通信控股股份有限公司主营业务是智能终端销售业务、电商业务、彩票业务、移动转售和移动互联网业务。公司销售的智能终端产品包括智能手机、笔记本、平板电脑、智能影音(智慧屏和智能音箱)、智能穿戴(智能眼镜、智能手表、智能手环、智能耳机、智能配件等)、智能家居(智能恒温、智能门禁、智能监控、智能防盗等物联网产品)等六大品类。公司是唯一获得中国福利彩票以及中国体育彩票专业投注机销售许可的企业,同时在体彩和福彩两个领域内销售自主研发产品并占据较高市场份额,主要客户为国内彩票发行管理机构及海外彩票运营商。公司获得“中国高新技术企业”,“中国重点软件企业”等认定。先后取得CMMI3,ISO20000,ISO...查看全部▼天音通信控股股份有限公司主营业务是智能终端销售业务、电商业务、彩票业务、移动转售和移动互联网业务。公司销售的智能终端产品包括智能手机、笔记本、平板电脑、智能影音(智慧屏和智能音箱)、智能穿戴(智能眼镜、智能手表、智能手环、智能耳机、智能配件等)、智能家居(智能恒温、智能门禁、智能监控、智能防盗等物联网产品)等六大品类。公司是唯一获得中国福利彩票以及中国体育彩票专业投注机销售许可的企业,同时在体彩和福彩两个领域内销售自主研发产品并占据较高市场份额,主要客户为国内彩票发行管理机构及海外彩票运营商。公司获得“中国高新技术企业”,“中国重点软件企业”等认定。先后取得CMMI3,ISO20000,ISO270001,世界彩票协会SCS等一系列专业认证资质，所获专利和软件著作权达352项，研发实力与技术服务能力并驾齐驱，居于行业领先地位。收起▲Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000830,"鲁西化工集团股份有限公司主营业务包括化工新材料、基础化工、化肥产品及其他业务。主要产品为聚碳酸酯、尼龙6、多元醇、有机硅、氟材料、甲烷氯化物、二甲基甲酰胺、氯碱。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000835,"长城国际动漫游戏股份有限公司主营业务为动漫设计、制作及发行、游戏开发及运营、创意旅游和衍生品销售。公司主要产品为动漫产品、动漫衍生品、游戏产品、旅游服务。东方国龙曾获得国家广电总局优秀动画片奖、浙江省广播电视动画奖、浙江省影视动画奖、国家文化部原创手机动漫扶持奖、国际动漫节“美猴奖”最佳动画形象奖等多项荣誉。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000836,"天津富通信息科技股份有限公司专业从事以光纤光缆制造为核心的光通信业务和以石英管材产品为辅助的石英制品业务。公司主要产品为通信普通光缆（以下简称“普缆”）、特种8字光缆、大芯数微缆、光电混合光缆、蝶缆等光缆类产品；G.652D、G.657A2、G.654、G.655等单模通信光纤类产品；光纤制造所需合成光棒、天然石英光棒大套管等产品。其中，普缆和光纤为公司对外交付和销售的主要产品。公司已经连续多年进入中国移动、中国电信、中国联通等重要供应商行列,已经成为国内重要光纤光缆供应商。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000837,"秦川机床工具集团股份公司的主营业务为研发、生产和销售齿轮磨床、螺纹磨床、外圆磨床（曲轴磨、球面磨、车轴磨）、滚齿机、车齿机、通用数控车床及加工中心、龙门式车铣镗复合加工中心、精密高效拉床、塑料机械（中空机）等高端数控装备；数控复杂刀具、高档数控系统、滚动功能部件、汽车零部件、特种齿轮箱、机器人关节减速器、螺杆转子副、精密齿轮、精密仪器仪表、精密铸件等零部件产品；提供智能制造及自动化生产线、智能机床等智能制造及核心数控技术、装备等系统集成业务。　　公司本部承担其他国家科技项目3项、省级项目12项、市级项目2项。通过承担04专项和省市项目,公司突破了制约我国高档精密数控机床装备制造的一批重大技术...查看全部▼秦川机床工具集团股份公司的主营业务为研发、生产和销售齿轮磨床、螺纹磨床、外圆磨床（曲轴磨、球面磨、车轴磨）、滚齿机、车齿机、通用数控车床及加工中心、龙门式车铣镗复合加工中心、精密高效拉床、塑料机械（中空机）等高端数控装备；数控复杂刀具、高档数控系统、滚动功能部件、汽车零部件、特种齿轮箱、机器人关节减速器、螺杆转子副、精密齿轮、精密仪器仪表、精密铸件等零部件产品；提供智能制造及自动化生产线、智能机床等智能制造及核心数控技术、装备等系统集成业务。　　公司本部承担其他国家科技项目3项、省级项目12项、市级项目2项。通过承担04专项和省市项目,公司突破了制约我国高档精密数控机床装备制造的一批重大技术,研制成功一批填补国内外空白的高新技术产品。收起▲Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000838,"财信地产发展集团股份有限公司是以房地产业务为主营业务的上市公司，同时经营环保产业。公司业务范围主要在重庆市、天津市、江苏省、山东省、河北省、广东省等省市区。主要产品是房地产、环保板块。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000839,"中信国安信息产业股份有限公司主要围绕企业综合信息服务业务、有线电视网络业务、房地产业务等开展各项经营工作。主要从事信息网络基础设施业务中的有线电视网、卫星通信网的投资建设，以及基于有线电视投资所积累用户资源而开展的增值服务等创新业务。国安科技拥有电子与智能化工程专业承包一级、建筑智能化系统设计专项甲级、涉密信息系统集成甲级等多项顶级建筑设计类资质，以及ISO9001、ISO27001等各项质量管理体系认证和各类安全生产许可证和标准化证书，经过多年发展，在行业内已具有较好的品牌优势和知名度。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000848,"承德露露股份公司的主营业务为植物蛋白饮料的生产和销售。公司主要产品为露露杏仁露。公司先后获得“农业产业化国家重点龙头企业”“中国饮料行业30年常青藤企业”“中国饮料工业二十强企业”“全国信息化500强企业”“中国农业企业500强”等荣誉称号，入选中国最具价值品牌500强，并连续多年名列中国食品饮料行业纳税百强，为中国饮料行业发展作出了突出贡献。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000850,"安徽华茂纺织股份有限公司主营业务是各类混纺纱线、织物、面料、产业用布及服装的生产与销售；投资管理。主要产品为纱、线、坯布、皮棉及棉籽等。华茂的管理经验受到国家、行业以及省、市各级政府和有关部门的高度肯定，称赞华茂是“管理出效益的典范”。近公司荣获“中国质量奖提名奖”、“全国知识产权示范企业”和“安徽省政府质量奖”等称号。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000851,"大唐高鸿网络股份有限公司主营业务为企业信息化业务、信息服务业务、终端销售业务,公司主要产品包括互联网营销、人工智能产品、IDC、移动信息、移动传媒、车联网、可信云计算、智能制造、行业/企业信息化服务、IT产品等。公司拥有涉密信息系统集成（甲级）资质、信息系统建设和服务能力评估CS4级、安防工程（壹级）资质、中国质量诚信AAA级企业、软件能力成熟度模型集成CMMI5级、电子与智能化工程专业承包贰级等多项资质，使得公司在建筑智能化弱电集成、计算机系统集成业务领域形成较强的竞争优势，居于国内系统集成服务提供商一梯队。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000852,"中石化石油机械股份有限公司的主营业务是油气开采高端装备研发制造及服务，油气集输，加氢、制氢装备研发制造及服务和石油机械设备检测。主导产品涵盖石油工程、油气开发、油气集输三大领域，覆盖陆地和海洋油气田，具体包括钻头钻具、钻井装备、固井装备、高压管汇、压裂装备、修井装备、特种作业装备、完井工具、油气集输钢管、天然气压缩机、井口及地面装置、环保装备等。公司坚持以科技创新引领高质量发展，持续升级超高压结构、超高硬材料、超高能控制、超高精制造“四超”系列核心技术，获评国家科技进步奖、国家技术发明奖、全国知识产权保护示范企业等荣誉。报告期内，公司建成国内首个150MPa高压气体装备综合测试中心、自动化钻修...查看全部▼中石化石油机械股份有限公司的主营业务是油气开采高端装备研发制造及服务，油气集输，加氢、制氢装备研发制造及服务和石油机械设备检测。主导产品涵盖石油工程、油气开发、油气集输三大领域，覆盖陆地和海洋油气田，具体包括钻头钻具、钻井装备、固井装备、高压管汇、压裂装备、修井装备、特种作业装备、完井工具、油气集输钢管、天然气压缩机、井口及地面装置、环保装备等。公司坚持以科技创新引领高质量发展，持续升级超高压结构、超高硬材料、超高能控制、超高精制造“四超”系列核心技术，获评国家科技进步奖、国家技术发明奖、全国知识产权保护示范企业等荣誉。报告期内，公司建成国内首个150MPa高压气体装备综合测试中心、自动化钻修装备试验平台等科研设施，研制出单机功率世界最大的连续满载8000型电动压裂装备、承压能力世界最强的175MPa大通径压裂管等走在行业前列的产品，获专利授权128项。收起▲Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000856,"唐山冀东装备工程股份有限公司主要从事水泥装备制造及维修业务。公司的业务主要由机械设备与备件、土建安装、维修工程、电气设备与备件等四部分构成：机械设备与备件业务，主要包括立磨、回转窑、球磨机、篦冷机等高效水泥机械设备与备件；移动破碎、移动筛分、固定式破碎机、制砂机等矿山和砂石骨料设备与备件等业务。土建安装业务，主要包括工业建筑的工程施工、矿山工程等业务。维修工程业务，主要包括水泥生产线的维修、窑炉砌筑、运行保驾等业务。电气设备与备件业务，主要包括电气盘柜、自动化设备与备件及系统工程服务等业务。公司是中国建材机械工业骨干企业；“中国建材机械工业协会”副会长单位；“全国建材机械装备标准化技术委员会”...查看全部▼唐山冀东装备工程股份有限公司主要从事水泥装备制造及维修业务。公司的业务主要由机械设备与备件、土建安装、维修工程、电气设备与备件等四部分构成：机械设备与备件业务，主要包括立磨、回转窑、球磨机、篦冷机等高效水泥机械设备与备件；移动破碎、移动筛分、固定式破碎机、制砂机等矿山和砂石骨料设备与备件等业务。土建安装业务，主要包括工业建筑的工程施工、矿山工程等业务。维修工程业务，主要包括水泥生产线的维修、窑炉砌筑、运行保驾等业务。电气设备与备件业务，主要包括电气盘柜、自动化设备与备件及系统工程服务等业务。公司是中国建材机械工业骨干企业；“中国建材机械工业协会”副会长单位；“全国建材机械装备标准化技术委员会”委员单位；“国家建筑材料机械标准技术委员会”委员单位；“中关村环首都经济圈装备制造产业联盟”发起成员单位；河北省机械工程协会副会长单位，河北机械工程学会理事单位，中国砂石骨料行业创新企业，公司被中国建筑材料企业管理协会评为2019年中国建材服务业100强。收起▲Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000858,"宜宾五粮液股份有限公司是以五粮液及其系列酒的生产、销售为主要产业,同时生产经营精密塑胶制品、大中小高精尖注射和冲压模具现代制造产业,以及生物工程为发展产业,药业工业、印刷业、电子器件产业、物流运输和相关的服务业的具有深厚企业文化的现代化企业集团。主要产品有五粮春、五粮醇、五粮特曲、尖庄等品类齐全、层次清晰的系列酒产品。公司古窖群是我国现存最早、规模最大、从未间断生产的地穴式曲酒发酵古窖池，具有不可复制和不可再生的稀缺价值。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000859,"安徽国风新材料股份有限公司主营业务为高分子功能膜材料、光电新材料、绿色环保木塑新材料、新能源汽车轻量化材料四大产业，是集研发、采购、生产、销售完整体系于一体的国家高新技术企业。公司的主要产品为双向拉伸聚丙烯薄膜（BOPP薄膜）产品。2023年度公司获得国家知识产权优势企业、安徽省新材料产业10强企业、安徽省首批原创技术策源地重点企业等多项荣誉。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000860,"北京顺鑫农业股份有限公司从事的主要业务为白酒酿造与销售；种猪繁育、生猪养殖、屠宰及肉制品加工。公司现已形成了以白酒、猪肉为主的两大产业。公司白酒产业拥有“牛栏山”和“宁诚”两大品牌，“牛栏山”目前拥有“经典二锅头”、“传统二锅头”、“百年牛栏山”、“珍品牛栏山”、“陈酿牛栏山”五大系列产品；“宁诚”主要产品为绵香型宁城老窖白酒。公司种猪繁育、生猪养殖、屠宰及肉制品加工业务产品，主要包括“小店”牌种猪及商品猪、“鹏程”牌生鲜及熟食制品。公司凭借完整的产业链和科学的食品安全控制管理体系，先后荣获“中国十佳冷鲜猪肉生产企业”、“中国十佳猪业全产业链标杆企业”、“全国生猪屠宰标准化示范厂”等多项殊荣。...查看全部▼北京顺鑫农业股份有限公司从事的主要业务为白酒酿造与销售；种猪繁育、生猪养殖、屠宰及肉制品加工。公司现已形成了以白酒、猪肉为主的两大产业。公司白酒产业拥有“牛栏山”和“宁诚”两大品牌，“牛栏山”目前拥有“经典二锅头”、“传统二锅头”、“百年牛栏山”、“珍品牛栏山”、“陈酿牛栏山”五大系列产品；“宁诚”主要产品为绵香型宁城老窖白酒。公司种猪繁育、生猪养殖、屠宰及肉制品加工业务产品，主要包括“小店”牌种猪及商品猪、“鹏程”牌生鲜及熟食制品。公司凭借完整的产业链和科学的食品安全控制管理体系，先后荣获“中国十佳冷鲜猪肉生产企业”、“中国十佳猪业全产业链标杆企业”、“全国生猪屠宰标准化示范厂”等多项殊荣。公司产品品牌“鹏程”先后荣获“品牌猪肉奖”、“5A级优质猪肉奖”、“全国三绿工程畅销品牌”、“中国（农业产业）行业领军品牌奖”等百余项荣誉。收起▲Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000861,"广东海印集团股份有限公司的主营业务为商业物业运营、金融服务、光伏发电等业务。公司的主要产品为商业板块、房产、百货业、金融版块。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000862,"宁夏银星能源股份有限公司主要从事新能源发电和新能源装备业务。新能源发电包括风力发电和太阳能光伏发电；新能源装备工程业务主要包括塔筒制造、风机组装、齿轮箱维修、风电及煤炭综采设备检修等业务。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000863,"三湘印象股份有限公司主要从事房地产开发与经营及文化旅游演艺类业务。主要产品为商品住宅,适当开发写字楼、商业、酒店式公寓等产品。公司开发项目中，获国家绿色建筑创新奖1个，国家绿色三星项目5个，国家健康三星项目1个，国家绿色二星项目3个，三湘印象获评“2021上海民营企业百强”、“2021上海服务业企业100强”、“2021上海民营服务业企业100强”、“2021上海百强成长企业50强”。公司提名龙雀奖之“2024年度文旅上市集团”，荣获克而瑞测评中心TRUE文旅超级评价榜之“年度模范文旅运营商·文化演艺类”奖项；《最忆船政》提名龙雀奖之“年度文旅科技应用项目”、获评文旅风尚榜“2023文旅融合标...查看全部▼三湘印象股份有限公司主要从事房地产开发与经营及文化旅游演艺类业务。主要产品为商品住宅,适当开发写字楼、商业、酒店式公寓等产品。公司开发项目中，获国家绿色建筑创新奖1个，国家绿色三星项目5个，国家健康三星项目1个，国家绿色二星项目3个，三湘印象获评“2021上海民营企业百强”、“2021上海服务业企业100强”、“2021上海民营服务业企业100强”、“2021上海百强成长企业50强”。公司提名龙雀奖之“2024年度文旅上市集团”，荣获克而瑞测评中心TRUE文旅超级评价榜之“年度模范文旅运营商·文化演艺类”奖项；《最忆船政》提名龙雀奖之“年度文旅科技应用项目”、获评文旅风尚榜“2023文旅融合标杆项目”；《印象·妈祖》获评克而瑞测评中心TRUE文旅超级评价榜之“2024TOP20期待文旅项目”；《印象·刘三姐》《印象大红袍》入选文旅部公布的“2023全国演出市场社会效益和经济效益相统一优秀演出项目”。收起▲Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000868,"安徽安凯汽车股份有限公司主营业务是客车整车及汽车零部件的研发、制造、销售和服务。公司主要产品为客车整车及汽车零部件。产品覆盖各类公路客车、旅游客车、团体客车、景观车、公交客车、新能源商用车等。公司采用全承载和半承载两条技术路线，全承载技术主要用于大型客车和新能源客车，半承载技术主要用于中轻型客车。全年获得授权专利162项，其中发明专利20项，获得国家知识产权优势企业称号；参与修订国家、行业标准制3项。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000869,"烟台张裕葡萄酿酒股份有限公司从事的主要业务为生产经营葡萄酒和白兰地，从而为国内外消费者提供健康、时尚的酒类饮品。其中葡萄酒主要有龙谕、爱斐堡、黄金冰谷、解百纳、张裕、醉诗仙、味美思、瑞那、巴保男爵、多名利、爱欧、歌浓和魔狮等品牌；白兰地主要有可雅、醴泉、迷霓、派格尔、富郎多等品牌。“张裕”商标和“解百纳”商标和“爱斐堡”商标均为“中国驰名商标”，具有强大的品牌影响力和品牌美誉度。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000875,"吉林电力股份有限公司主要从事发电（风电、太阳能、水电、火电、分布式能源、气电、生物质、核能）、供热（民用、工业）、综合智慧能源供应、氢能、储能、清洁能源投资开发、电站检修、科技项目研发、配售电等业务。公司以清洁能源为主线，打造了东北、西北、华东、江西、华北5个区域新能源基地，发展项目已遍及30个省市自治区，并积极拓展海外业务。展望未来，公司围绕“持续大力发展新能源，高质量发展综合智慧能源，创新发展氢能产业集群，全面拓展储能充换电业务”四条发展主线，致力于建成为世界一流清洁能源上市公司为广大投资者提供更加稳定的回报，为促进国民经济发展和社会进步做出应有的贡献。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000876,"新希望六和股份有限公司主要业务包括饲料、生猪养殖与屠宰。主要产品和业务为饲料业务、生猪养殖与屠宰业务、白羽肉禽业务、食品深加工业务。公司凭借与中国农业科学院北京畜牧兽医研究所等单位联合完成的“肉鸭高效育种技术创建与新品种培育及产业化”成果，再次获得国家科技进步二等奖，这也是公司第七次获得这一国家最高科技奖项；公司还凭借在母猪料领域的卓越表现和创新研究成果，荣获了“2024年度母猪料匠心奖”。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000877,"天山材料股份有限公司主要从事水泥、熟料、商品混凝土和骨料的生产及销售。主要产品包括硅酸盐水泥、普通硅酸盐水泥等六大系列以及油井、抗硫、中低热等特种水泥。公司“天山”商标(水泥、混凝土两类产品)是中国驰名商标。公司水泥产品享有较高知名度和客户认可度，是公路、铁路、水利、机场等重点建设项目指定使用产品。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000878,"云南铜业股份有限公司的主要业务涵盖了铜的勘探、采选、冶炼，贵金属和稀散金属的提取与加工，硫化工以及贸易等领域。公司主要产品包括：阴极铜、黄金、白银、工业硫酸、铂、钯、硒、碲、铼等。公司“铁峰牌”阴极铜在上海金属交易所和伦敦金属交易所注册交易，“铁峰牌”金锭在上海黄金交易所注册交易，“铁峰牌”银锭在英国伦敦金银市场协会注册交易，均为中国名牌产品。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000880,"潍柴重机股份有限公司主营业务是开发、制造和销售船舶动力和发电设备市场用30-12000马力的发动机及动力集成系统、发电机组及电力集成系统，兼顾经营柴油机零部件、船用齿轮箱配套等产品，并具有提供整套动力解决方案及电力解决方案。公司的主要产品为发动机、发电机组、配件及加工劳务。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000881,"中广核核技术发展股份有限公司主营业务包括远洋运输、工程承包、房地产、国际劳务合作、进出口贸易和远洋渔业等业务。主要产品是加速器、改性高分子材料、辐照加工服务。公司主要产品为改性高分子材料、进出口贸易、电子加速器及辐照加工。报告期内，公司继续领跑相关细分市场领域。一是以打造专精特新小巨人企业为目标，持续提升公司在细分领域的竞争优势。上半年俊尔公司、湖北拓普公司、江阴爱科森公司获评第五批国家级专精特新小巨人企业。至此公司下属（含托管业务）已有国家级专精特新小巨人企业7家，另有省级专精特新小巨人企业6家。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000882,"北京华联商厦股份有限公司主要从事购物中心运营管理业务、影院运营管理业务和商业保理业务。公司主要产品包括租赁及物业管理、电影放映及卖品、保理服务。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000883,"湖北能源集团股份有限公司是湖北省国有资产监督管理委员会管理的省属大型企业，主要从事能源投资、开发与管理。从事或投资的主要业务包括水电、火电、核电、新能源发电、天然气输配、煤炭贸易和金融投资。目前已初步建成鄂西水电、鄂东火电及恩施风电、随州光伏等主要电力能源基地，逐步构建起湖北省天然气供应保障和煤炭储配网络，同时还投资参股长江证券、长源电力、长江财险、三峡财务公司等多家上市公司或金融企业。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000885,"城发环境股份有限公司主要业务为固废处理业务、环境卫生服务、水处理业务、环保方案集成服务、高速公路业务。公司主要产品和服务是固体废弃物处理及环卫业务、环保方案集成服务业务、水处理业务、高速公路业务。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000886,"海南高速公路股份有限公司的主营业务是从事房地产开发、文旅业、服务业、交通运输业等业务。公司的主要产品和服务包括房地产销售、酒店服务、物业服务、广告服务、代建项目管理服务、文体旅游服务及深海养殖产品销售等。经过多年精心打造，公司形成了以“海南高速”为核心品牌，以“瑞海地产”、“金银岛酒店”“智岛阳光”等为子品牌的品牌系统，具有一定的区域影响力。公司旗下海南金银岛大酒店凭借良好的服务和设施，荣获“2023中国酒店业年度品牌榜优选宾客体验城市品质酒店”等多项荣誉称号。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000887,"安徽中鼎密封件股份有限公司主营业务为液压气动密封件，汽车非轮胎橡胶制品(制动，减震除外)的研发、生产和销售。主要业务有智能底盘系统业务-空气悬挂系统；智能底盘系统业务-轻量化底盘系统；智能底盘系统业务-橡胶业务；冷却系统；密封系统。连续十年销售收入、出口创汇、利润总额以及主导产品市场占有率等各项指标位居国内同行业首位,公司继续跻身“全球汽车零部件行业100强”(名列第92位)和“全球非轮胎橡胶制品行业50强”(名列第13位,国内第1)。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000888,"峨眉山旅游股份有限公司是一家旅游服务企业。主要从事峨眉山风景区游山门票、客运索道、宾馆酒店服务以及其他相关旅游服务的经营。主要产品为游山门票、客运索道、宾馆酒店服务。公司是四川省唯一一家旅游上市公司,也是四川省龙头旅游企业。其中公司的红珠山宾馆先后获得“中国十大最受欢迎度假酒店”、“中国十佳会议会展酒店”、“全国五一劳动奖状”、“国家级巾帼文明岗”、“中华餐饮名店”、“首届中国金牌旅游小吃”和“四川省旅游骨干企业”、“四川五星级酒店首选品牌”“第十五届中国上市公司董事会‘金圆桌奖’优秀董事会”等多项殊荣。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000889,"中嘉博创信息技术股份有限公司主营业务是信息智能传输、通信网络维护。主要产品有通信网络维护、信息智能传输。子公司长实通信2023年参与了杭州第19届亚运会、第31届世界大学生夏季运动会、第七届南亚博览会、2023年中国国际旅游交易会等大型社会活动以及台风“泰利”、台风“杜苏芮”、冰雪凝冻抢险救灾等重大通信保障任务。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000890,"江苏法尔胜股份有限公司的主营业务是金属制品业务和环保业务。公司主要产品有弹簧钢丝、打包钢丝、汽车座椅骨架钢丝、软轴软管钢丝、制绳钢丝、环保业务。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000893,"亚钾国际投资(广州)股份有限公司主营业务为钾盐开采、钾肥生产销售业务。公司主要生产产品为粉末结晶状与颗粒状氯化钾。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000895,"河南双汇投资发展股份有限公司主营业务是以屠宰业和肉类加工业为核心，向上游发展饲料业和养殖业，向下游发展包装业、商业，配套发展外贸业、调味品业等。主要产品是生鲜产品、包装肉制品。公司是农业产业化国家重点龙头企业，2023年入选“凯度BrandZ最具价值中国品牌100强”“中国品牌价值500强”“中国民营企业500强”，并荣获“中国肉制品行业标志性品牌”“中国肉类食品行业先进企业”“中国国际肉类产业周特别贡献奖”“河南省肉类食品行业突出贡献奖”等多项荣誉。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000897,"天津津滨发展股份有限公司主营业务是房地产开发与销售。公司业务范围集中在天津市区和滨海新区以及福建泉州等地。公司房地产开发主要以住宅产品为主。公司始终秉持“质量优先”的建设原则，坚持精细化管理，精心打造“精品工程”，严格执行国家有关规范、规程和设计要求，在材料、工程质量上严格把控质量关。H4项目被天津市质检总站选定为质量观摩的项目，并获得年度“安全文明工地”的称号。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000898,"鞍钢股份有限公司主营业务是黑色金属冶炼及钢压延加工。公司已经成为具有年产1600万吨钢,以汽车板、家电板、集装箱板、造船板、管线钢、冷轧硅钢等为主导产品的精品板材基地。获得国家受理专利449件，其中发明专利318件，占比70.8%；获得PCT国际发明专利申请5件；获得国家授权专利233件，其中发明专利152件，占比65.2%；认定备案专有技术49件。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000899,"江西赣能股份有限公司主要业务为火力、水力发电。公司形成了水火并举、以电为主的发展格局，同时积极加快进军路桥等基础行业和高科技领域，实现投资领域的适度多元化。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000900,"现代投资股份有限公司主营业务为高速公路收费业务。主要产品是长永、长潭高速公路通行费、潭耒高速公路通行费、溆怀高速公路通行费、大宗商品现货贸易、怀芷高速公路通行费。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000901,"航天科技控股集团股份有限公司主营业务为航天应用产品、汽车电子产品、车联网及工业物联网、石油仪器设备、电力设备的研发、生产和销售等。主要产品有航天应用、汽车电子、车联网及工业物联网。近年来，公司持续出色完成神舟系列、天舟一号等航天重大项目配套任务，公司研发的手离方向盘监测系统获得欧洲汽车零部件供应商协会创新大奖、儿童遗忘光学传感器系统获得卢森堡企业联合会创新大奖、汽车仪表获得黑龙江省产品质量奖并进入一汽集团核心供应商名录，获得上市公司金牛创富领袖奖等多项大奖，品牌影响力得到进一步提升。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000902,"新洋丰农业科技股份有限公司的主营业务为复合肥（常规复合肥和新型复合肥）、磷肥（主要是磷酸一铵）、磷酸铁、磷石膏产品的研发、生产和销售。公司的主要产品有硫酸钾复合肥、尿基复合肥、高塔复合肥、“洋丰正好”作物专用肥、“百倍邦”特种肥料、“水白金”和“简惠”水溶肥、“洋丰硫”生态级肥、“锌磷美”中微量添加复合肥、“机多宝”有机-无机复合肥、“洋丰-康朴”稳定性肥料、“逍道”硝硫基肥、“澳之蓝”水溶肥、海藻肥、现代农业、贸易。公司是磷复肥行业龙头企业,产品销量连续多年排名全国前二。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
