股票代码,描述
000019,"深圳市深粮控股股份有限公司的主营业务为批发零售业务、食品加工制造业务、租赁及商务服务业务。公司的主要产品为饮料、调味品、茶制品、商品房、物业租赁。公司荣获“中国服务业企业500强”“中国最具影响力粮油集团”“中国十佳粮油集团”“中国百佳粮油企业”“国家级重点支持粮油产业化龙头企业”“全国质量标杆”“粮食数字化技术应用十强”等荣誉，入选“第一批国家级粮食应急保障企业”“中国农业产业化头部企业百强”“粮食行业头部企业十强”“全国放心粮油示范工程示范企业”等，是深受市民信赖的“米袋子”。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000020,"深圳中恒华发股份有限公司的主营业务是注塑件、液晶显示器整机生产和销售;自有物业的对外出租。公司的主要产品为显示器、注塑件、EPS产品、物业租赁、废料收入、水电费及其他。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000021,"深圳长城开发科技股份有限公司专注于为客户提供技术研发、工艺设计、生产制造、供应链管理、物流、销售等一站式电子产品制造服务。公司以存储半导体、高端制造、计量智能终端为三大主营业务。在计算机与存储以及电子制造行业拥有多年的技术沉淀和工程制造经验积累，以及国际化的管理团队和海外网络，在行业内处于领先地位，尤其是精密制造行业的自动化设备的研发制造能力和精细化管理水平，已在本行业具备核心竞争力。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000023,"深圳市天地(集团)股份有限公司主营业务是混凝土的生产和销售、房地产的开发与销售。公司主要产品为预拌混凝土，公司是全国最早以商品混凝土生产和销售为主业的上市公司。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000025,"深圳市特力(集团)股份有限公司的主营业务为珠宝第三方服务、商业综合体运营及物业租赁业务。公司的主要产品和服务为珠宝批发及零售、物业租赁及服务；公司位于水贝、布心片区最大业主地位。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000026,"飞亚达精密科技股份有限公司主营业务是钟表及其零配件的设计、开发、制造、销售和维修业务，包括“飞亚达”表的产品经营和世界名表的商业连锁销售。主营业务为手表零售服务业务、手表品牌业务、精密制造业务、租赁业务等。公司是国家技术创新示范企业、国家级工业设计中心和国家认定的企业技术中心、工信部认定的“两化”融合贯标单位，下属制造型企业均为国家级高新技术企业。公司拥有研发、设计、制造、销售、服务为一体的全产业链运营管理能力，通过资源整合与业务协同，不断强化“飞亚达”核心自有品牌的差异化打造，报告期内，“飞亚达”品牌凭借多款创新产品，荣获2024年MUSE缪斯设计奖铂金奖及金奖；凭借电商平台的高质量运营管理...查看全部▼飞亚达精密科技股份有限公司主营业务是钟表及其零配件的设计、开发、制造、销售和维修业务，包括“飞亚达”表的产品经营和世界名表的商业连锁销售。主营业务为手表零售服务业务、手表品牌业务、精密制造业务、租赁业务等。公司是国家技术创新示范企业、国家级工业设计中心和国家认定的企业技术中心、工信部认定的“两化”融合贯标单位，下属制造型企业均为国家级高新技术企业。公司拥有研发、设计、制造、销售、服务为一体的全产业链运营管理能力，通过资源整合与业务协同，不断强化“飞亚达”核心自有品牌的差异化打造，报告期内，“飞亚达”品牌凭借多款创新产品，荣获2024年MUSE缪斯设计奖铂金奖及金奖；凭借电商平台的高质量运营管理，荣获“2023年珠宝玉石行业年度优秀商家”、“2023年天猫新趋赛道奖”、“天猫年度直播奖”、“京东年度趋势新品奖”、“抖音服饰男装综合行业年度品牌”等多个奖项，品牌影响力进一步提升。收起▲Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000027,"深圳能源集团股份有限公司的主营业务为各种常规能源和新能源的开发、生产、购销,以及城市固体废物处理、城市燃气供应和废水处理等。公司的主要产品包括燃煤、燃机、水电、风电、光伏、生态环保、综合燃气。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000028,"国药集团一致药业股份有限公司是集制药工业、医药批发、零售连锁为一体的医药上市公司,控股股东为国药控股有限公司。主要经营医药企业受托管理、资产重组,医药实业投资项目的咨询服务,举办医疗器械的展览展销,中药材、中成药、中药饮片、化学原料药、化学药制剂、抗生素、生化药品、生物制品的批发(经营期限以许可证为准)。公司坚持走研发、制药、分销、物流、零售一体化发展道路,旗下拥有致君制药、万乐公司、一致药店等公司,其中一致药店为国内最大规模的连锁药店之一，公司属下国大药房是全国销售规模领先的医药零售企业，是国内少数拥有全国性直营药品零售网络的企业之一。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000030,"富奥汽车零部件股份有限公司主要从事汽车零部件的研发、生产和销售，公司主要产品包括底盘系统、环境系统、制动和传动系统、转向及安全系统、电子电器系统、发动机附件系统等六大系列，产品品种覆盖重、中、轻、微型商用车和高、中、低档乘用车等系列车型；公司产品为众多国内整车/整机企业配套，部分产品远销海外；所属企业35家，其中全资企业15家、合资企业20家。国内主要乘用车客户有一汽集团、上汽集团、北汽集团、长安集团、东风集团、广汽集团、吉利集团、长城汽车、华晨宝马、奇瑞集团、江淮汽车、比亚迪汽车、大众中国等。商用车客户几乎遍及国内主要整车厂：一汽解放、东风汽车、北汽福田、中国重汽、北奔重型、安徽华菱、郑州宇...查看全部▼富奥汽车零部件股份有限公司主要从事汽车零部件的研发、生产和销售，公司主要产品包括底盘系统、环境系统、制动和传动系统、转向及安全系统、电子电器系统、发动机附件系统等六大系列，产品品种覆盖重、中、轻、微型商用车和高、中、低档乘用车等系列车型；公司产品为众多国内整车/整机企业配套，部分产品远销海外；所属企业35家，其中全资企业15家、合资企业20家。国内主要乘用车客户有一汽集团、上汽集团、北汽集团、长安集团、东风集团、广汽集团、吉利集团、长城汽车、华晨宝马、奇瑞集团、江淮汽车、比亚迪汽车、大众中国等。商用车客户几乎遍及国内主要整车厂：一汽解放、东风汽车、北汽福田、中国重汽、北奔重型、安徽华菱、郑州宇通、厦门金龙等。国际客户有万国卡车、美国康明斯、通用公司、墨西哥大众、德国宝马、德国曼恩、俄罗斯卡玛兹、南非大众、韩国大宇、雷诺三星等。收起▲Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000031,"大悦城控股集团股份有限公司的主营业务为房地产开发、经营、销售、出租及管理住宅、商用物业，经营业态涵盖住宅、商业地产及部分产业地产。主要产品包括商品房销售、一级土地开发、投资物业及相关服务、酒店经营、物业及其他管理、管理输出。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
