序号,股票代码,股票名称,公司全称,上市日期,招股书,公司财报,行业分类,主营业务
211,000652,泰达股份,天津泰达股份有限公司,1996-11-28,--,,贸易,生态环保、区域开发、能源贸易和股权投资。
212,000655,金岭矿业,山东金岭矿业股份有限公司,1996-11-28,--,,铁矿石,铁矿石开采，铁精粉、铜精粉、钴精粉、球团矿的生产、销售及机械加工与销售。
213,000656,*ST金科,金科地产集团股份有限公司,1996-11-28,--,,房地产开发,房地产开发为主，新能源发电、社区综合服务、酒店经营管理、园林、门窗、装饰等相关多元化产业经营为辅。
214,000657,中钨高新,中钨高新材料股份有限公司,1996-12-05,--,,钨,硬质合金和钨、钼、钽、铌等有色金属及其深加工产品和装备的研制、开发、生产、销售及贸易业务等。
215,000659,珠海中富,珠海中富实业股份有限公司,1996-12-03,--,,包装印刷,碳酸饮料、热灌装饮料、饮用水和啤酒包装用PET瓶、PET瓶胚、标签、外包装薄膜、胶罐的生产与销售，并同时为企业提供碳酸饮料、饮用水、无菌灌装、热灌装饮料代加工服务。
216,000661,长春高新,长春高新技术产业(集团)股份有限公司,1996-12-18,--,,生物医药,生物制药及中成药的研发、生产和销售，辅以房地产开发等业务。
217,000662,天夏退,天夏智慧城市科技股份有限公司,1996-12-16,--,,行业应用软件,软件产品销售、系统集成建设与运营服务。
218,000663,永安林业,福建省永安林业(集团)股份有限公司,1996-12-06,--,,木材加工,森林资源培育与林木采伐经营、森林经营服务、人造板经营、地板经营。
219,000665,湖北广电,湖北省广播电视信息网络股份有限公司,1996-12-10,--,,有线电视,基于有线电视宽带网络向社会公众和集团客户提供综合信息服务。
220,000666,经纬纺机,经纬纺织机械股份有限公司,1996-12-10,--,,其他非银行金融,生产与销售纺织机械业务、棉麻销售业务及金融信托业务。
221,000667,ST美置,美好置业集团股份有限公司,1996-12-05,--,,房地产开发,房地产开发、装配式建筑业务。
222,000668,荣丰控股,荣丰控股集团股份有限公司,1996-12-10,--,,房地产开发,房地产开发与经营。
223,000669,ST金鸿,金鸿控股集团股份有限公司,1996-12-10,--,,燃气,天然气综合利用业务，包括气源开发与输送、长输管网建设与管理、城市燃气经营与销售、车用加气站投资与运营、LNG点供、分布式能源项目开发与建设等。
224,000670,盈方微,盈方微电子股份有限公司,1996-12-17,--,,半导体材料,电子元器件分销和集成电路芯片的研发、设计和销售。
225,000671,ST阳光城,阳光城集团股份有限公司,1996-12-18,--,,房地产开发,房地产开发与销售。
226,000672,上峰水泥,甘肃上峰水泥股份有限公司,1996-12-18,--,,水泥,水泥熟料、水泥、特种水泥、混凝土等建材产品的生产制造和销售。
227,000673,当代退,当代东方投资股份有限公司,1997-01-24,--,,影视,电视剧以及云计算、大数据、IT系统集成业务等。
228,000676,智度股份,智度科技股份有限公司,1996-12-24,--,,其他互联网服务,互联网媒体业务、数字营销业务及其他业务。
229,000677,恒天海龙,恒天海龙股份有限公司,1996-12-26,--,,粘胶纤维,高性能高模低缩浸胶涤纶帘子布、帆布、涤纶丝的生产与销售。
230,000678,襄阳轴承,襄阳汽车轴承股份有限公司,1997-01-06,--,,汽车零部件,从事轴承及其零部件的生产、科研、销售及相关业务。
231,000679,大连友谊,大连友谊(集团)股份有限公司,1997-01-24,--,,百货,以零售业、酒店业、房地产业为主，其它策略性投资为补充。
232,000680,山推股份,山推工程机械股份有限公司,1997-01-22,--,,工程机械,建筑工程机械、矿山机械、农田基本建设机械、收获机械及配件的研究、开发、制造、销售、租赁、维修及技术咨询服务。
233,000681,视觉中国,视觉(中国)文化发展股份有限公司,1997-01-21,--,,网络媒体,提供优质正版图片、视频等视觉内容及增值服务。
234,000682,东方电子,东方电子股份有限公司,1997-01-21,--,,电气自控设备,电子及通信设备开发、生产、销售及咨询服务。
235,000683,远兴能源,内蒙古远兴能源股份有限公司,1997-01-31,--,,纯碱,天然碱法制纯碱和小苏打、煤制尿素等产品的生产和销售。
236,000685,中山公用,中山公用事业集团股份有限公司,1997-01-23,--,,污水处理,环保水务、固废、新能源、工程建设以及辅助板块等业务。
237,000686,东北证券,东北证券股份有限公司,1997-02-27,--,,证券,财富管理业务、投资银行业务、投资与销售交易业务和资产管理业务等。
238,000687,华讯退,华讯方舟股份有限公司,1997-02-21,--,,通信终端设备,军事通信应用领域相关产品及系统的研发、生产和销售。
239,000688,国城矿业,国城矿业股份有限公司,1997-01-20,--,,铅锌,有色金属采选、工业硫酸生产及相关产品贸易。
240,000690,宝新能源,广东宝丽华新能源股份有限公司,1997-01-28,--,,火电,新能源发电、金融投资。
